"Participant_ID","Group","variable","value"
"1","I","Closed",8.068182
"1","I","Left",64.772727
"1","I","Center",21.818182
"1","I","Right",5.340909
"2","NI","Closed",11.214953
"2","NI","Left",77.40017
"2","NI","Center",3.653356
"2","NI","Right",7.731521
"3","NI","Closed",32.151899
"3","NI","Left",46.962025
"3","NI","Center",8.037975
"3","NI","Right",12.848101
"4","NI","Closed",21.138614
"4","NI","Left",55.742574
"4","NI","Center",8.366337
"4","NI","Right",14.752475
"5","I","Closed",28.82722
"5","I","Left",18.88988
"5","I","Center",36.52641
"5","I","Right",15.75649
"6","I","Closed",12.594187
"6","I","Left",64.101184
"6","I","Center",6.781485
"6","I","Right",16.523143
"7","I","Closed",21.28713
"7","I","Left",44.55446
"7","I","Center",16.73267
"7","I","Right",17.42574
"8","I","Closed",11.994288
"8","I","Left",62.351261
"8","I","Center",7.853403
"8","I","Right",17.801047
"9","NI","Closed",63.898451
"9","NI","Left",8.562823
"9","NI","Center",9.423408
"9","NI","Right",18.115318
"10","I","Closed",18.56375
"10","I","Left",48.60772
"10","I","Center",11.23596
"10","I","Right",21.59257
"11","NI","Closed",62.461538
"11","NI","Left",8.846154
"11","NI","Center",2.538462
"11","NI","Right",26.153846
"12","I","Closed",51.5625
"12","I","Left",4.9375
"12","I","Center",15.3125
"12","I","Right",28.1875
"13","NI","Closed",54.765818
"13","NI","Left",14.708299
"13","NI","Center",2.177486
"13","NI","Right",28.348398
"14","NI","Closed",29.512195
"14","NI","Left",34.715447
"14","NI","Center",5.853659
"14","NI","Right",29.918699
"15","NI","Closed",44.25676
"15","NI","Left",20.60811
"15","NI","Center",2.5
"15","NI","Right",32.63514
"16","I","Closed",19.787234
"16","I","Left",39.148936
"16","I","Center",5.425532
"16","I","Right",35.638298
"17","I","Closed",16.181689
"17","I","Left",39.46061
"17","I","Center",8.587651
"17","I","Right",35.77005
"18","I","Closed",37.909408
"18","I","Left",18.675958
"18","I","Center",5.226481
"18","I","Right",38.188153
"19","NI","Closed",54.617676
"19","NI","Left",3.277061
"19","NI","Center",3.227408
"19","NI","Right",38.877855
"20","I","Closed",32.229965
"20","I","Left",22.560976
"20","I","Center",3.745645
"20","I","Right",41.463415
"21","NI","Closed",11.3165
"21","NI","Left",25.06763
"21","NI","Center",21.59603
"21","NI","Right",42.01984
"22","I","Closed",3.941385
"22","I","Left",19.555331
"22","I","Center",30.97524
"22","I","Right",45.528044
"23","NI","Closed",5.753968
"23","NI","Left",30.515873
"23","NI","Center",17.97619
"23","NI","Right",45.753968
"24","I","Closed",35.925168
"24","I","Left",5.933937
"24","I","Center",12.306343
"24","I","Right",45.834551
"25","NI","Closed",24.89796
"25","NI","Left",15.71429
"25","NI","Center",13.06122
"25","NI","Right",46.32653
"26","I","Closed",1.520468
"26","I","Left",17.309942
"26","I","Center",34.619883
"26","I","Right",46.549708
"27","I","Closed",9.614422
"27","I","Left",29.193791
"27","I","Center",10.115173
"27","I","Right",51.076615
"28","NI","Closed",18.4
"28","NI","Left",24.73333
"28","NI","Center",5.6
"28","NI","Right",51.26667
"29","I","Closed",18.40426
"29","I","Left",24.68085
"29","I","Center",5.37234
"29","I","Right",51.54255
"30","I","Closed",1.812415
"30","I","Left",37.199819
"30","I","Center",8.42773
"30","I","Right",52.560036
"31","NI","Closed",30.732293
"31","NI","Left",12.364946
"31","NI","Center",2.521008
"31","NI","Right",54.381753
"32","I","Closed",13.75887
"32","I","Left",11.56028
"32","I","Center",18.29787
"32","I","Right",56.38298
"33","NI","Closed",7.485605
"33","NI","Left",19.385797
"33","NI","Center",14.587332
"33","NI","Right",58.541267
"34","I","Closed",31.141304
"34","I","Left",8.586957
"34","I","Center",1.684783
"34","I","Right",58.586957
"35","NI","Closed",14.666667
"35","NI","Left",14.114943
"35","NI","Center",6.804598
"35","NI","Right",64.413793
"36","NI","Closed",12.805474
"36","NI","Left",11.534702
"36","NI","Center",3.225806
"36","NI","Right",72.434018
"37","I","Closed",7.407407
"37","I","Left",8.072175
"37","I","Center",7.597341
"37","I","Right",76.923077
"38","I","Closed",12.130178
"38","I","Left",2.899408
"38","I","Center",3.491124
"38","I","Right",81.47929
"39","NI","Closed",12.4645892
"39","NI","Left",0.2832861
"39","NI","Center",0.3541076
"39","NI","Right",86.898017
"40","I","Closed",5.3582179
"40","I","Left",0.5418423
"40","I","Center",0.5418423
"40","I","Right",93.5580975
